Name of Department,Module ID,Name of Module,Name of Type,Activity ID,Name,Day,Start Time,End Time,Whole-Class/Subgroup,Size,Real Size,Duration,Weeks,Number of weeks,Room,Building,Campus
Deanery of Biomedical Sciences,MSBM08002_SS1_SEM1,Medical Sciences 1.,*Workshop,#SPLUS03A0D8,Medical Sciences 1 - Workshop/A,Tue,10:00,13:00,,20,18,6,"Sem1 wk1-Sem1 wk8, Sem1 wk10-Sem1 wk11",10,OC_Teaching Room 05,Old College,*Central
Deanery of Biomedical Sciences,MSBM08002_SS1_SEM1,Medical Sciences 1.,*Workshop,#SPLUS03A0DA,Medical Sciences 1 - Workshop/B,Tue,10:00,13:00,,20,16,6,"Sem1 wk1-Sem1 wk8, Sem1 wk10-Sem1 wk11",10,7-8CS_1.03,7-8 Chambers Street,*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0E8 002,Medical Sciences 4 - Tutorial/01,Wed,11:00,13:00,,15,14,4,Sem1 wk11,1,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0E8 001,Medical Sciences 4 - Tutorial/01,Wed,9:00,11:00,,15,14,4,Sem1 wk2-Sem1 wk10,9,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EA 002,Medical Sciences 4 - Tutorial/02,Wed,11:00,13:00,,15,13,4,Sem1 wk11,1,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EA 001,Medical Sciences 4 - Tutorial/02,Wed,9:00,11:00,,15,13,4,Sem1 wk2-Sem1 wk10,9,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EC 002,Medical Sciences 4 - Tutorial/03,Wed,11:00,13:00,,15,14,4,Sem1 wk11,1,MST_Teaching Room 01 (G.204) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EC 001,Medical Sciences 4 - Tutorial/03,Wed,9:00,11:00,,15,14,4,Sem1 wk2-Sem1 wk10,9,MST_Teaching Room 01 (G.204) - Doorway 3,"Medical School, Teviot",*Central
"School of History, Classics and Archaeology",HIST10507_SS1_YR,Britons at War: The Construction of Identities in the Two World Wars,*Seminar,#SPLUS9D976F 001,"Britons at War <09-17, 19>",Mon,16:00,18:00,,15,14,4,"Sem1 wk1-Sem1 wk9, Sem1 wk11",10,MST_G.12 Seminar Room - Doorway 4,"Medical School, Teviot",*Central
"School of History, Classics and Archaeology",HIST10507_SS1_YR,Britons at War: The Construction of Identities in the Two World Wars,*Seminar,#SPLUS9D976F 002,Britons at War <18>,Mon,16:00,18:00,,15,14,4,Sem1 wk10,1,MST_G.12 Seminar Room - Doorway 4,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10011_SS1_SEM1,Neural circuits for learning and memory,*Tutorial,#SPLUS03A18B,Neural Circuits for Learning and Memory - Tutorial/01,Tue,9:30,12:30,,12,0,6,Sem1 wk3,1,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10011_SS1_SEM1,Neural circuits for learning and memory,*Tutorial,#SPLUS03A18D,Neural Circuits for Learning and Memory - Tutorial/02,Mon,9:30,12:30,,12,0,6,Sem1 wk9,1,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
