courseCode,cohortSize
AACE07001,48
AACE07002,42
AACE07003,41
AACE07004,35
AACE07005,8
AACE07006,6
AACE07007,11
AACE07008,9
AACE07009,11
ACCN08007,127
ACCN08008,131
ACCN08009,70
ACCN08010,67
ACCN08012,378
ACCN10008,78
ACCN10009,85
ACCN10010,80
ACCN10014,38
ACCN10026,220
ACCN10027,5
ACCN10029,81
ACCN10030,51
ACCP10001,12
ACCP10002,12
ACCP10003,12
ACCP10004,12
ACCP10005,NA
ACCP10006,6
ACCP10007,6
AFRI08001,168
AFRI08008,88
AFRI10003,44
AFRI10004,37
AFRI11005,45
AFRI11006,12
AFRI11007,17
AFRI11010,14
ANHI08013,123
ANHI08014,124
ANHI08015,130
ANHI10007,29
ANHI10011,21
ANHI10012,23
ANHI10013,21
ANHI10034,24
ANHI10051,27
ANHI10051,2
ANHI10083,26
ANHI10095,27
ANHI10100,20
ANHI10103,21
ANHI10104,23
ANHI10105,16
ANHI10106,18
ARCA08004,102
ARCA08005,102
ARCA08012,64
ARCA08013,63
ARCA08014,41
ARCA10003,20
ARCA10013,3
ARCA10014,12
ARCA10040,27
ARCA10047,17
ARCA10063,19
ARCA10064,49
ARCA10065,48
ARCA10077,9
ARCA10082,17
ARCA10083,13
ARCA10084,14
ARCA10085,18
ARCA10088,17
ARCA10091,19
ARCA10093,19
ARCA10096,15
ARCA10097,19
ARCA10098,17
ARCA10099,15
ARCH08001,115
ARCH08002,109
ARCH08004,111
ARCH08006,106
ARCH08006,2
ARCH08007,103
ARCH08027,104
ARCH08028,103
ARCH08030,16
ARCH08030,1
ARCH08031,16
ARCH08037,16
ARCH08038,24
ARCH08040,15
ARCH08041,15
ARCH08042,15
ARCH08044,15
ARCH08046,16
ARCH08048,17
ARCH08049,16
ARCH08050,16
ARCH08051,123
ARCH08052,27
ARCH08053,9
ARCH08054,8
ARCH08055,15
ARCH08056,27
ARCH08057,27
ARCH08058,16
ARCH10001,117
ARCH10002,118
ARCH10003,96
ARCH10003,4
ARCH10005,93
ARCH10005,8
ARCH10022,12
ARCH10025,67
ARCH10025,1
ARCH10026,96
ARCH10027,96
ARCH10029,12
ARCH10030,18
ARCH10031,17
ARCH10032,17
ARCH10037,12
ARCH10038,17
ARCH10040,12
ARCH10043,12
ARCH10047,14
ARCH10048,47
ARCH10049,15
ARCH10050,12
ARCH10051,20
ARCH10052,21
ARCH10053,19
ARCH10054,20
ARCH10055,22
ARCH10056,22
ARCH10057,22
ARCH10058,12
ARCH11006,33
ARCH11010,47
ARCH11014,27
ARCH11015,29
ARCH11021,29
ARCH11022,27
ARCH11024,NA
ARCH11032,NA
ARCH11034,NA
ARCH11038,27
ARCH11039,27
ARCH11041,28
ARCH11043,28
ARCH11069,76
ARCH11069,1
ARCH11070,42
ARCH11070,1
ARCH11075,38
ARCH11081,27
ARCH11088,NA
ARCH11089,70
ARCH11090,69
ARCH11091,16
ARCH11092,16
ARCH11093,26
ARCH11096,3
ARCH11096,1
ARCH11129,22
ARCH11174,25
ARCH11194,22
ARCH11195,33
ARCH11196,22
ARCH11197,23
ARCH11198,31
ARCH11201,13
ARCH11204,13
ARCH11205,NA
ARCH11207,1
ARCH11213,NA
ARCH11222,NA
ARCH11223,1
ARCH11226,17
ARCH11234,4
ARCH11235,1
ARCH11240,1
ARCH11246,11
ARCH11260,22
ARCH11261,23
ARCH11262,22
ARCH11263,31
ARCH11265,24
ARCH11266,14
ARCH11269,32
ARCH11270,32
ARCH11270,1
ARCH11271,39
ARCH11272,53
ARCH11273,45
ARCH11274,45
ARCH11276,45
ARCH11277,23
ARCH11279,10
ARCH11280,45
ARCH11281,2
ARCH11282,30
ARCH11283,30
ARCH11284,32
ARCH11285,32
ARCH11286,3
ARCH11287,5
ARCH11288,5
ARCH11290,NA
ARCH11292,5
ARDE10002,14
AREA11017,23
ARHI08004,201
ARHI08008,34
ARHI08008,1
ARHI08009,197
ARHI08010,162
ARHI10002,13
ARHI10011,16
ARHI10019,7
ARHI10026,10
ARHI10038,14
ARHI10042,4
ARHI10048,15
ARHI10050,11
ARHI10060,4
ARHI10061,7
ARHI11004,NA
ARHI11008,NA
ARHI11010,NA
ARHI11011,4
ARHW11035,14
ARJA10002,76
ARJA10004,25
ARJA11001,76
ARJA11001,1
ARJA11002,77
ARJA11003,3
ARTX08054,21
ARTX08055,14
ARTX08055,12
ARTX08058,27
ARTX08058,32
ARTX08059,33
ARTX08064,34
ARTX08066,NA
ARTX08067,2
ARTX08072,24
ARTX08075,101
ARTX08076,84
ARTX08082,15
ARTX08086,1
ARTX08087,89
ARTX08088,39
ARTX08089,38
ARTX08090,97
ARTX08091,78
ARTX09073,80
ARTX10036,78
ARTX10037,89
ARTX10038,89
ARTX10040,11
ARTX10048,85
ARTX10049,10
ARTX10050,8
ARTX10051,100
ARTX10054,22
ARTX10055,24
ARTX10056,22
ARTX10058,97
ARTX10059,24
ARTX10064,44
ARTX10065,NA
ARTX10066,25
ARTX10068,11
ARTX10069,78
ARTX11033,23
ARTX11033,1
ARTX11034,28
ARTX11035,26
ARTX11035,2
ARTX11036,23
ARTX11036,1
ARTX11037,2
ARTX11042,44
ARTX11044,44
ARTX11046,26
ARTX11047,44
ARTX11050,44
ARTX11051,NA
ASST07008,114
ASST07008,89
ASST07016,64
ASST07018,27
ASST07019,50
ASST07019,52
ASST07022,10
ASST07024,38
ASST07024,20
ASST07025,17
ASST07027,33
ASST07027,35
ASST08001,34
ASST08018,54
ASST08041,30
ASST08042,89
ASST08043,100
ASST08049,20
ASST08050,20
ASST08052,59
ASST08053,38
ASST08055,67
ASST08057,29
ASST08057,3
ASST08058,5
ASST08058,28
ASST08059,29
ASST08060,8
ASST08060,30
ASST08063,51
ASST08065,12
ASST08067,34
ASST08068,7
ASST08069,4
ASST08069,7
ASST08070,33
ASST08071,100
ASST08072,38
ASST08073,58
ASST09001,29
ASST09002,29
ASST09004,22
ASST10066,13
ASST10081,19
ASST10093,35
ASST10094,35
ASST10095,35
ASST10106,11
ASST10107,10
ASST10108,13
ASST10121,19
ASST10126,10
ASST10128,29
ASST10132,8
ASST10133,19
ASST10139,14
ASST10141,10
ASST10148,19
ASST10150,7
ASST10151,18
ASST10152,5
ASST10153,13
ASST10154,6
ASST10155,5
ASST10156,14
ASST10158,14
ASST10159,14
ASST10160,12
ASST11020,NA
ASST11025,NA
ASST11083,22
ASST11084,21
ASST11095,6
ASST11096,2
ASST11104,29
ASST11107,7
ASST11108,10
ASST11109,9
ASST11110,15
ASST11111,NA
ASST11112,17
ASST11113,7
ASST11115,14
ASST11118,6
ASST11119,4
ASST11120,8
ASST11120,3
ASST11125,4
AWAB11020,23
AWAB11022,39
AWAB11024,NA
AWAB11035,20
AWAB11036,52
AWAB11038,NA
AWAB11041,NA
AWAB11042,NA
AWAB11043,49
AWAB11044,21
AWAB11046,17
AWAB11047,NA
AWAB11048,17
AWAB11049,17
AWAB11050,16
AWAB11051,16
AWAB11052,26
AWAB11053,12
AWAB11054,9
AWAB11055,18
BICH10006,22
BICH10007,30
BICH10009,11
BICH10014,21
BICH10018,21
BICH11005,7
BICH11007,12
BICH11008,22
BICH11009,21
BICH11010,NA
BILG08001,1
BILG08003,29
BILG08005,NA
BILG08009,3
BILG08011,154
BILG08015,230
BILG08016,63
BILG08018,168
BILG08020,335
BILG08021,243
BILG08022,238
BILG08023,306
BILG08024,208
BILG08025,363
BILG08026,312
BILG09001,126
BILG09002,181
BILG09004,74
BILG09005,150
BILG09006,87
BILG09007,193
BILG09009,100
BILG09010,100
BILG09011,53
BILG09013,96
BILG09014,89
BILG09015,111
BILG09017,65
BILG09019,79
BILG09021,29
BILG11004,26
BILG11009,5
BILG11010,NA
BILG11011,NA
BILG11012,NA
BILG11013,5
BILG11014,5
BIME08004,280
BIME08006,63
BIME08007,202
BIME08010,2
BIME08011,245
BIME08012,357
BIME08013,174
BIME08014,58
BIME09002,91
BIME09003,107
BIME09004,82
BIME09005,119
BIME09006,122
BIME09008,193
BIME09009,NA
BIME09011,85
BIME09012,115
BIME09013,85
BIME09014,NA
BIME09015,NA
BIME10002,58
BIME10008,13
BIME10011,24
BIME10015,11
BIME10020,17
BIME10021,37
BIME10022,19
BIME10023,41
BIME10024,13
BIME10025,29
BIME10026,24
BIME10027,24
BIME10028,34
BIME10029,16
BIME10030,25
BIME10032,21
BIME10035,27
BIME10036,23
BIME10037,25
BIME10038,58
BIME10039,58
BIME10040,58
BIME10041,18
BIME10042,18
BIME10043,18
BIME10044,18
BIME10045,16
BIME10046,13
BIME10048,20
BIME10049,15
BIME10052,39
BIME10053,39
BIME10054,39
BIME10055,11
BIME10056,11
BIME10057,20
BIME10058,15
BIME10059,16
BIME10060,13
BIME10062,20
BIME10063,21
BIME10064,2
BIME10065,2
BIME10066,2
BIME10067,5
BIME10068,14
BIME10069,14
BIME10070,24
BIME10073,10
BIME10074,26
BIME10075,24
BIME10076,30
BIME11004,26
BIME11011,8
BIME11012,14
BIME11016,25
BIME11018,8
BIME11019,7
BIME11020,15
BIME11020,8
BIME11025,7
BIME11027,9
BIME11031,NA
BIME11032,40
BIME11033,43
BIME11036,11
BIME11039,20
BIME11042,16
BIME11046,26
BIME11047,26
BIME11051,28
BIME11054,2
BIME11056,26
BIME11063,10
BIME11065,41
BIME11075,26
BIME11076,4
BIME11080,4
BIME11083,9
BIME11084,9
BIME11085,9
BIME11087,4
BIME11089,9
BIME11090,26
BIME11097,9
BIME11103,14
BIME11104,7
BIME11105,7
BIME11106,8
BIME11107,11
BIME11108,3
BIME11109,2
BIME11110,2
BIME11111,1
BIME11113,10
BIME11114,12
BIME11115,14
BIME11116,10
BIME11117,10
BIME11119,15
BIME11120,24
BIME11121,22
BIME11122,5
BIME11123,14
BIME11125,17
BIME11127,28
BIME11128,26
BIME11129,9
BIME11130,19
BIME11133,26
BIME11135,9
BIME11137,18
BIME11141,14
BIME11142,NA
BIME11144,4
BIME11145,14
BIME11146,4
BIME11148,16
BIME11149,26
BIME11150,26
BIME11151,16
BIME11152,2
BIME11153,10
BIME11154,10
BIME11155,10
BIME11156,NA
BIME11157,26
BIME11158,5
BIME11160,15
BIME11161,9
BIME11164,3
BIME11165,16
BIME11166,15
BIME11167,9
BIME11168,NA
BIME11169,35
BIME11170,NA
BIME11171,NA
BIME11172,NA
BIME11173,NA
BIME11174,NA
BIME11175,NA
BIME11176,NA
BIME11177,NA
BIME11178,10
BIME11179,4
BIME11179,10
BIME11179,NA
BIME11180,10
BIME11181,25
BIME11182,25
BIME11183,25
BIME11184,25
BIME11185,25
BIME11186,4
BIME11187,8
BIME11188,7
BIME11189,5
BIME11190,5
BIME11191,NA
BIME11193,7
BIME11195,26
BIME11196,4
BIME11197,6
BIME11199,NA
BIST11002,15
BIST11006,15
BIST11009,6
BIST11010,6
BIST11011,4
BIST11017,5
BIST11021,1
BIST11025,4
BIST11026,10
BIST11028,14
BIST11029,8
BIST11032,4
BITE10001,43
BITE10002,40
BITE10006,40
BITE10007,40
BITE10010,24
BITE10013,40
BITE11003,38
BITE11004,26
BUST08003,146
BUST08004,146
BUST08005,165
BUST08008,169
BUST08009,96
BUST08018,185
BUST08027,133
BUST08028,90
BUST08029,180
BUST08030,136
BUST08031,97
BUST08032,83
BUST08033,194
BUST08035,418
BUST08036,444
BUST08040,195
BUST08041,43
BUST08042,72
BUST08043,20
BUST08045,205
BUST08046,9
BUST08047,9
BUST08049,78
BUST08050,78
BUST08051,196
BUST08052,185
BUST08053,74
BUST08054,92
BUST09007,495
BUST10004,102
BUST10007,48
BUST10012,105
BUST10018,38
BUST10021,64
BUST10023,64
BUST10024,23
BUST10028,16
BUST10032,121
BUST10033,65
BUST10067,142
BUST10077,11
BUST10092,36
BUST10104,33
BUST10107,73
BUST10108,174
BUST10113,119
BUST10115,57
BUST10120,20
BUST10124,49
BUST10127,108
BUST10129,35
BUST10133,58
BUST10134,52
BUST10135,70
BUST10140,48
BUST10142,177
BUST10144,182
BUST10145,15
BUST10147,94
BUST10148,108
BUST10149,108
BUST10150,99
BUST10151,121
BUST10152,45
BUST10153,79
BUST10155,124
BUST10156,80
BUST10157,80
BUST10158,396
BUST10160,60
BUST10162,100
BUST10163,184
BUST11230,NA
BUST11231,8
BUST11231,4
BVMS08038,116
BVMS08052,114
BVMS08053,125
BVMS08054,50
BVMS08056,116
BVMS08057,118
BVMS08059,35
BVMS08060,54
BVMS08061,115
BVMS08062,117
BVMS08063,116
BVMS08064,57
BVMS08065,55
BVMS08066,53
BVMS09010,170
BVMS09013,171
BVMS09014,169
BVMS09015,175
BVMS10028,147
BVMS10034,142
BVMS10035,148
BVMS10039,142
BVMS10040,142
BVMS10041,NA
BVMS11010,170
BVMS11013,172
BVMS11014,172
CACA08011,73
CACA08012,65
CACA10007,25
CACA10031,18
CACA10036,23
CACA10041,16
CACA10042,23
CACA10051,27
CACA10053,14
CACA10053,1
CACE10001,NA
CACE11001,NA
CBIO11001,5
CBIO11002,5
CBIO11003,5
CBIO11004,5
CBIO11005,5
CBIO11006,5
CEBI10001,17
CEBI10002,2
CEBI10005,2
CELT08004,14
CELT08005,4
CELT08006,8
CELT08007,4
CELT08016,NA
CELT08017,44
CELT08017,45
CELT08018,NA
CELT08019,13
CELT08021,11
CELT08022,34
CELT08023,30
CELT08024,73
CELT08025,83
CELT10007,2
CELT10009,4
CELT10010,3
CELT10012,7
CELT10016,7
CELT10017,NA
CELT10025,7
CELT10026,8
CELT10028,4
CELT10035,NA
CELT10036,3
CELT10037,3
CELT10040,4
CELT10049,3
CELT10059,7
CELT11006,NA
CELT11007,NA
CHCA10004,NA
CHEE08012,88
CHEE08013,77
CHEE08013,11
CHEE08016,84
CHEE08017,69
CHEE09008,64
CHEE09010,67
CHEE09013,62
CHEE09014,67
CHEE09015,60
CHEE09016,60
CHEE09016,1
CHEE09016,4
CHEE09019,68
CHEE09020,68
CHEE09021,65
CHEE10002,49
CHEE10004,49
CHEE10004,NA
CHEE10005,49
CHEE10005,2
CHEE10008,48
CHEE10009,28
CHEE10010,50
CHEE11015,26
CHEE11016,4
CHEE11020,8
CHEE11021,22
CHEE11023,11
CHEE11024,NA
CHEE11024,1
CHEE11026,40
CHEE11028,22
CHEE11029,40
CHEE11030,12
CHEE11031,32
CHEE11032,39
CHEE11033,7
CHEM08016,185
CHEM08017,187
CHEM08019,130
CHEM08020,73
CHEM08022,415
CHEM08023,418
CHEM08026,2
CHEM08027,1
CHEM08028,89
CHEM08029,90
CHEM08030,160
CHEM08031,133
CHEM09005,82
CHEM09006,83
CHEM09007,80
CHEM09008,5
CHEM09009,3
CHEM09010,10
CHEM09011,9
CHEM09015,9
CHEM09016,9
CHEM10012,69
CHEM10023,42
CHEM10023,6
CHEM10043,29
CHEM10044,7
CHEM10050,2
CHEM10055,72
CHEM10055,3
CHEM10056,42
CHEM10056,3
CHEM10057,62
CHEM10057,4
CHEM10058,60
CHEM10059,39
CHEM10060,13
CHEM10062,NA
CHEM10066,NA
CHEM10071,43
CHEM10072,71
CHEM10073,21
CHEM10074,24
CHEM10075,20
CHEM11011,NA
CHEM11012,NA
CHEM11013,NA
CHEM11029,NA
CHEM11052,NA
CHEM11054,27
CHEM11055,22
CHEM11056,34
CHEM11067,24
CHEM11069,NA
CHEM11072,NA
CHEM11073,NA
CHEM11074,NA
CHEM11075,21
CHEM11076,65
CHEM11077,21
CHEM11078,NA
CHEM11079,65
CHEM11080,26
CHEM11081,65
CHEM11082,65
CHEM11083,20
CHPH08002,11
CHPH09005,8
CHPH09006,10
CHPH09007,9
CHPH10004,2
CHPH10006,14
CHPH11004,14
CIVE08020,241
CIVE08023,159
CIVE08024,117
CIVE08025,94
CIVE08026,278
CIVE08027,5
CIVE08028,69
CIVE09016,41
CIVE09020,33
CIVE09023,24
CIVE09034,36
CIVE09035,33
CIVE09036,48
CIVE09037,36
CIVE09038,43
CIVE10004,63
CIVE10006,46
CIVE10008,51
CIVE10011,40
CIVE10013,22
CIVE10022,45
CIVE10029,66
CIVE10030,75
CIVE10031,21
CIVE10032,46
CIVE11025,12
CIVE11031,40
CIVE11034,10
CIVE11038,39
CIVE11044,11
CIVE11045,1
CIVE11047,4
CIVE11049,19
CIVE11050,26
CIVE11051,61
CIVE11052,3
CIVE11053,89
CIVE11054,5
CIVE11055,30
CLGE08001,120
CLGE08002,154
CLGE08003,151
CLGE08004,162
CLGE10003,71
CLGE10004,NA
CLGE10005,NA
CLGE10006,4
CLLC08003,24
CLLC10003,24
CLLC10007,27
CLLC10008,17
CLLC11003,137
CLLC11004,NA
CLLC11024,49
CLLC11025,51
CLLC11026,18
CLLC11037,61
CLLC11039,61
CLLC11040,24
CLLC11053,62
CLLC11065,34
CLLC11082,1
CLLC11086,NA
CLLC11102,NA
CLLC11103,NA
CLLC11112,6
CLLC11125,1
CLLC11127,28
CLLC11132,5
CLLC11133,69
CLLC11136,7
CLLC11137,7
CLLC11139,23
CLLC11142,42
CLLC11143,42
CLLC11144,40
CLLC11145,16
CLLC11146,25
CLLC11148,NA
CLLC11149,69
CLLC11150,68
CLLC11151,NA
CLLC11152,2
CLLC11153,56
CLLC11154,1
CLLC11155,NA
CLLC11156,NA
CLLC11161,42
CLLC11162,2
CLLC11163,56
CLLC11164,1
CLLC11165,1
CLLC11166,NA
CLLC11167,NA
CLLC11174,49
CLLC11177,1
CLLC11178,1
CLLC11179,1
CLLC11180,1
CLLC11181,17
CLLC11182,68
CLLC11183,69
CLLC11184,42
CLLC11186,17
CLLC11189,3
CLLC11190,17
CLLC11191,41
CLLC11192,40
CLLC11193,41
CLLC11195,35
CLLC11198,20
CLLC11200,17
CLLC11201,15
CLLC11202,8
CLLC11203,11
CLLC11204,16
CLLC11205,8
CLPS10001,175
CLPS11002,37
CLPS11006,37
CLPS11009,37
CLPS11010,37
CLPS11014,37
CLPS11033,54
CLPS11037,56
CLPS11042,41
CLPS11050,171
CLPS11052,178
CLPS11053,169
CLPS11054,169
CLPS11055,177
CLPS11056,174
CLPS11057,182
CLPS11058,NA
CLPS11062,4
CLPS11063,37
CLPS11064,6
CLPS11066,239
