courseName,courseCode,cohortSize
Access Humanities 1,AACE07001,48
Access Humanities 2,AACE07002,42
Access Social Sciences 1,AACE07003,41
Access Social Sciences 2,AACE07004,35
Access Art and Design 1,AACE07005,8
Access Art and Design 2,AACE07006,6
Access Languages and Cultures 1,AACE07007,11
Access Languages and Cultures 2,AACE07008,9
Mathematics for Arts, Humanities and Social Sciences,AACE07009,11
Accountancy 1A,ACCN08007,127
Accountancy 1B,ACCN08008,131
Accountancy 2A,ACCN08009,70
Accountancy 2B,ACCN08010,67
Accounting for Business 1,ACCN08012,378
Advanced Financial Accounting,ACCN10008,78
Auditing,ACCN10009,85
Management Accounting Applications,ACCN10010,80
Accounting and Everyday Life,ACCN10014,38
Behavioural Finance and Market Efficiency,ACCN10026,220
The Accounting Profession,ACCN10027,5
Taxation Practices,ACCN10029,81
Management accounting and control systems: A strategic and organisational perspective,ACCN10030,51
Anaesthesia, Critical Care and Pain Medicine Project,ACCP10001,12
Fundamentals of Anaesthesia, Critical Care and Pain Medicine,ACCP10002,12
Practical Research Methods for Anaesthesia, Critical Care and Pain Medicine,ACCP10003,12
Literature Evaluation and Review for the Anaesthesia, Critical Care, and Pain Medicine Project,ACCP10004,12
The Respiratory System Under Stress,ACCP10005,NA
The Cardiovascular System Under Stress,ACCP10006,6
The Nervous System Under Stress,ACCP10007,6
International Development, Aid and Humanitarianism,AFRI08001,168
Africa in the Contemporary World,AFRI08008,88
Advanced Issues in the Making of Contemporary Africa,AFRI10003,44
Contemporary Issues in International Development,AFRI10004,37
Dissertation (MSc International Development - Online Distance Learning),AFRI11005,45
Key Skills in Development Practice (ODL),AFRI11006,12
Displacement and Development (ODL),AFRI11007,17
Policing and Punishment: Insights from across the globe,AFRI11010,14
Ancient History 2b: Themes and Theories in Ancient History,ANHI08013,123
Ancient History 2a: Past and Present in the Ancient World,ANHI08014,124
The Transformation of the Roman World, ca. 300-800: Towards Byzantium and the Early Medieval West,ANHI08015,130
The Severans,ANHI10007,29
Roman Slavery,ANHI10011,21
The Greek World and Rome,ANHI10012,23
The World of St Augustine,ANHI10013,21
Custodians of Empire: The Praetorian Guard,ANHI10034,24
Hellenistic Egypt: Society, Economy and Culture (332BC - 31BC),ANHI10051,27
Hellenistic Egypt: Society, Economy and Culture (332BC - 31BC),ANHI10051,2
Religion and War in Byzantium and in Comparative Perspective,ANHI10083,26
Mysteria: The Secret Cults of Antiquity,ANHI10095,27
Ancient Slavery in Comparative Perspective,ANHI10100,20
War, Trauma and Survival: from Antiquity to the Present,ANHI10103,21
Roman Greece,ANHI10104,23
Dispute Resolution in the Roman Empire,ANHI10105,16
Documenting Life in the Roman Empire,ANHI10106,18
Archaeology 1A,ARCA08004,102
Archaeology 1B,ARCA08005,102
Archaeology 2B: Archaeology in Action,ARCA08012,64
Archaeology 2A: Scotland before History,ARCA08013,63
The Human Skeleton in Archaeology and Forensic Science: Investigating Death and the Dead,ARCA08014,41
Human Origins,ARCA10003,20
Archaeological Fieldwork,ARCA10013,3
Archaeological Illustration,ARCA10014,12
Archaeology Dissertation,ARCA10040,27
Bronze Age Civilisations of the Near East and Greece,ARCA10047,17
The Hittites: The Archaeology of an Ancient Near Eastern Civilisation,ARCA10063,19
Theoretical Archaeology,ARCA10064,49
Archaeology in Practice,ARCA10065,48
Scientific Methods in Bio-Archaeology,ARCA10077,9
Archaeology of Architecture,ARCA10082,17
Here comes the war: conflict archaeology and the human past,ARCA10083,13
The archaeology of animal remains,ARCA10084,14
The Archaeology and History of Egypt: the Second Intermediate Period until the end of the Late Period (1650-332 BC),ARCA10085,18
The Archaeology and History of Egypt: the Early Dynastic until the end of the Middle Kingdom (c. 3100-1650 BC),ARCA10088,17
Ancient Egyptian Hieroglyphs: The Basics and Beyond,ARCA10091,19
The Archaeology of Iron Age Europe: Hillforts, Burials and Landscapes,ARCA10093,19
Mariners, Monks and Mobility: the archaeology of the early medieval Atlantic Archipelago,ARCA10096,15
Marine Archaeology,ARCA10097,19
The Archaeology of Children and Childhood,ARCA10098,17
Ancient Bodies: Archaeological Human Remains in their Social and Cultural Context,ARCA10099,15
Architectural Design: Elements,ARCH08001,115
Technology and Environment: Principles,ARCH08002,109
Architectural Design: Assembly,ARCH08004,111
Architectural Design: Any Place,ARCH08006,106
Architectural Design: Any Place,ARCH08006,2
Architectural Design: In Place,ARCH08007,103
Technology and Environment 2B: Building Fabric,ARCH08027,104
Technology and Environment 2A: Building Environment,ARCH08028,103
Landscape Architecture Design 1B,ARCH08030,16
Landscape Architecture Design 1B,ARCH08030,1
Landscape Architecture Design 1A,ARCH08031,16
Landscape Architecture Techniques 1,ARCH08037,16
Design Thinking and Digital Crafting,ARCH08038,24
Landscape Architecture Design 2A,ARCH08040,15
Landscape Architecture Techniques 2A,ARCH08041,15
Landscape Architecture Design 2B,ARCH08042,15
Landscape Architecture Techniques 2B,ARCH08044,15
Landscape Architecture Theory 2A,ARCH08046,16
Landscape Architecture Theory 2B,ARCH08048,17
Landscape Architecture Theory 1A,ARCH08049,16
Landscape Architecture Theory 1B,ARCH08050,16
Environmental Practices,ARCH08051,123
Interior Design 2B - Change of Use,ARCH08052,27
Interior Design 1B - Small Spaces,ARCH08053,9
Interior Design 1A: Around, through and Beyond the Frame,ARCH08054,8
Drawing Spaces,ARCH08055,15
Interior Design 2A: Medium spaces project,ARCH08056,27
Computer-Aided Design,ARCH08057,27
Materials Reimagined,ARCH08058,16
Architectural Design: Explorations,ARCH10001,117
Architectural Theory,ARCH10002,118
Architectural Design: Tectonics,ARCH10003,96
Architectural Design: Tectonics,ARCH10003,4
Academic Portfolio: Part 1,ARCH10005,93
Academic Portfolio: Part 1,ARCH10005,8
On Drawing,ARCH10022,12
Architectural Design: Logistics,ARCH10025,67
Architectural Design: Logistics,ARCH10025,1
Architectural Practice: Reflection,ARCH10026,96
Architectural Practice: Working Learning,ARCH10027,96
On Colour in Architecture,ARCH10029,12
Landscape Architecture Placement: Research,ARCH10030,18
Landscape Architecture Placement: Professional Practice,ARCH10031,17
Landscape Architecture Placement: Design,ARCH10032,17
Academic Portfolio: Landscape Architecture,ARCH10037,12
Landscape Architecture Design 3,ARCH10038,17
Landscape Architecture Design 4B,ARCH10040,12
On Detail (in Architecture),ARCH10043,12
Thinking With Fire (Level 10),ARCH10047,14
Sustainable Architecture, Structural Form and Embodied Energy,ARCH10048,47
Landscape Fieldwork Lab,ARCH10049,15
Landscape Architecture: Contemporary Theory & Practice,ARCH10050,12
Interior Design 3A: Research and Practice,ARCH10051,20
Interior Design 3C: Externality,ARCH10052,21
Lighting Design for Spaces,ARCH10053,19
Interior Design 3B: Design Studio,ARCH10054,20
Interior Design 4A: Design Research and Practice,ARCH10055,22
Interior Design 4B: Design Studio,ARCH10056,22
Interior Design 4C: Design Exposition,ARCH10057,22
Landscape Architecture Design 4A,ARCH10058,12
Digital Media Studio Project,ARCH11006,33
Interactive Sound Environments,ARCH11010,47
Design Project 1,ARCH11014,27
Design Research Project,ARCH11015,29
Design Project 2,ARCH11021,29
Readings in Contemporary Architectural Theory,ARCH11022,27
Update in Architectural Management,ARCH11024,NA
Dissertation for MSc by Research in Sound Design,ARCH11032,NA
Architecture Dissertation,ARCH11034,NA
Sustainable Theory and Contexts,ARCH11038,27
Sustainable Design Methodologies,ARCH11039,27
Advanced Sustainable Design Project,ARCH11041,28
Advanced Sustainable Design Dissertation,ARCH11043,28
Design Report,ARCH11069,76
Design Report,ARCH11069,1
Studies in Contemporary Architectural Theory,ARCH11070,42
Studies in Contemporary Architectural Theory,ARCH11070,1
Architectural Technology Research,ARCH11075,38
Research Skills and Methods,ARCH11081,27
Researching Cultures,ARCH11088,NA
Architectural Design Studio C (Modular),ARCH11089,70
Architectural Design Studio D (Modular),ARCH11090,69
Architectural Design Studio C (Integrated),ARCH11091,16
Architectural Design Studio D (Integrated),ARCH11092,16
Architectural Design Studio A (Integrated),ARCH11093,26
Architectural Design Studio B (Modular),ARCH11096,3
Architectural Design Studio B (Modular),ARCH11096,1
History and Theory of Conservation,ARCH11129,22
Architectural Design Studio H,ARCH11174,25
Building Analysis,ARCH11194,22
Culture and performance in the history of construction,ARCH11195,33
Urban Conservation,ARCH11196,22
MSc Dissertation,ARCH11197,23
World Heritage,ARCH11198,31
USD Dissertation,ARCH11201,13
Urban Project,ARCH11204,13
