courseCode,cohortSize,Campus
AACE07001,48,*Holyrood
AACE07001,48,*Central
AACE07001,48,*Central
AACE07001,48,*George Square/Buccleuch
AACE07001,48,*Holyrood
AACE07001,48,*Holyrood
AACE07003,41,*Holyrood
AACE07003,41,*Holyrood
AACE07003,41,*Holyrood
AACE07005,8,*Holyrood
AACE07007,11,*Holyrood
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*Central
ACCN08007,127,*Central
ACCN08007,127,*Central
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08007,127,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08009,70,*George Square/Buccleuch
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*Central
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*Central
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*Central
ACCN08012,378,*George Square/Buccleuch
ACCN08012,378,0
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,*George Square/Buccleuch
ACCN10008,78,0
ACCN10008,78,*George Square/Buccleuch
ACCN10009,85,*George Square/Buccleuch
ACCN10009,85,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10026,220,*George Square/Buccleuch
ACCN10029,81,*George Square/Buccleuch
ACCN10029,81,*George Square/Buccleuch
ACCN10029,81,*George Square/Buccleuch
ACCN10029,81,*Lauriston
ACCN10029,81,*George Square/Buccleuch
ACCN10029,81,*George Square/Buccleuch
ACCP10002,12,0
ACCP10002,12,*Bioquarter
ACCP10002,12,*Bioquarter
ACCP10002,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10003,12,*Bioquarter
ACCP10004,12,*Bioquarter
ACCP10004,12,*Bioquarter
ACCP10004,12,*Bioquarter
ACCP10004,12,*Bioquarter
